Rank;Year;VIAF;Count;Name;Gender;Primary Genre
1;2010;56608054;28;Clive Cussler;Male;Adventure
2;2010;22272314;26;James Patterson;Male;suspense
3;2010;108957653;24;Stuart Woods;Male;Suspense
4;2010;100238676;22;Danielle Steel;Female;Romance
5;2010;102339955;16;David Baldacci;Male;Spy/Politics
6;2010;43552467;15;J. D. Robb;Female;Mystery
;2010;79125942;15;Debbie Macomber;Female;Romance
8;2010;76450949;13;Lincoln Child;Male;Suspense
9;2010;112432108;12;John Sandford;Male;Mystery
;2010;85471804;12;J. A. Jance;Female;Mystery
1;2000;100238676;25;Danielle Steel;Female;Romance
2;2000;101763416;22;Robert B. Parker;Male;Mystery
;2000;22272314;22;James Patterson;Male;Suspense
4;2000;108957653;21;Stuart Woods;Male;Mystery
5;2000;110880758;17;Dean Koontz;Male;Horror
;2000;66448023;17;Nora Roberts;Female;Romance
;2000;41851486;17;Iris Johansen;Female;Suspense
;2000;54180657;17;Janet Evanovich;Female;Mystery
9;2000;39520379;16;Laurell K. Hamilton;Female;Horror
;2000;56608054;15;Clive Cussler;Male;Adventure
;2000;112432108;15;John Sandford;Male;Mystery
1;1990;100238676;15;Danielle Steel;Female;Romance
2;1990;97113511;13;Stephen King;Male;Horror
3;1990;101763416;12;Robert B. Parker;Male;Mystery
;1990;110880758;12;Dean Koontz;Male;Horror
;1990;305233686;12;W. E. B. Griffin;Male;Other
6;1990;100252785;11;Mary Higgins Clark;Female;Mystery
;1990;24601518;11;Dick Francis;Male;Mystery
8;1990;101947685;10;Lilian Jackson Braun;Female;Mystery
;1990;111572561;10;Barbara Taylor Bradford;Female;Romance
;1990;109274608;10;Robin Cook;Male;Horror
1;1980;97113511;14;Stephen King;Male;Horror
2;1980;24601518;11;Dick Francis;Male;Mystery
3;1980;95274115;10;L. Ron Hubbard;Male;Fantasy/Scifi
;1980;100238676;10;Danielle Steel;Female;Romance
5;1980;83994214;9;Lawrence Sanders;Male;Mystery
6;1980;34460537;8;James A. Michener;Male;Other (Historical)
7;1980;109274608;7;Robin Cook;Male;Horror
;1980;39378467;7;Jack Higgins;Male;Adventure
;1980;273905397;7;Len Deighton;Male;Spy/Politics
;1980;97864608;7;Andrew M. Greeley;Male;Mystery
;1980;110081076;7;John Gardner;Male;Spy/Politics
1;1970;66468765;7;Victoria Holt;Female;Romance
;1970;109175102;7;Alistair MacLean;Male;Mystery
3;1970;90712179;6;John Updike;Male;Domestic
;1970;109373898;6;Robert Ludlum;Male;Spy/Politics
5;1970;17220157;5;Taylor Caldwell;Female;Other
;1970;31590256;5;Morris West;Male;Spy/Politics
;1970;32002877;5;Irwin Shaw;Male;Adventure
;1970;71388952;5;Agatha Christie;Female;Mystery
;1970;109254932;5;John le Carre;Male;Spy/Politics
1;1960;12429524;11;John O'Hara;Male;
2;1960;66468765;8;Victoria Holt;Female;Romance
3;1960;17220157;7;Taylor Caldwell;Female;Other
;1960;109175102;7;Alistair MacLean;Male;Mystery
;1960;87919936;7;Louis Auchincloss;Male;Other
5;1960;109491991;6;Mary Stewart;Female;Romance
;1960;49232921;6;Irving Wallace;Male;Other
6;1960;31590256;5;Morris West;Male;Spy/Politics
1;1950;103152570;10;Frank G. Slaughter;Male;
2;1950;111981061;9;Frank Yerby;Male;
3;1950;7510005;8;Nevil Shute;Male;Adventure
4;1950;17220157;7;Taylor Caldwell;Female;Other (Religious)
;1950;57912804;7;F. Van Wyck Mason;Male;Mystery
6;1950;44300783;6;Frances Parkinson Keyes;Female;
;1950;91868694;6;Pearl S. Buck;Female;
